title,job,language
제6회 Kakao Tech Meet에 초대합니다!,ETC,ETC
Golang GC 튜닝 가이드,ETC,GO
Chrome Devtools를 활용하여 나만의 웹뷰 디버깅 환경 만들기 / 제5회 Kakao Tech Meet,ETC,ETC
웹 텍스트 에디터 개발에 필요한 고민과 신규 에디터 소개 / 제5회 Kakao Tech Meet,FE,ETC
[Phocus] 사용자 경험 중심 스벨트 이미지 뷰어 라이브러리 / 제5회 Kakao Tech Meet,FE,ETC
제5회 Kakao Tech Meet에 초대합니다!,ETC,ETC
테크밋 다시 달릴 준비!,ETC,ETC
OROR Forge: Figma to Code 도구 제작기 (2) 실전용으로 만들기,ETC,ETC
OROR Forge: Figma to Code 도구 제작기 (1) 디자인을 코드로 만들어보자!,ETC,ETC
2024 카카오 겨울 인턴십 코딩테스트 문제해설,ETC,ETC
큐라스: 메시지 광고 추천 플랫폼 / 제4회 Kakao Tech Meet,ETC,ETC
JDK 21의 신기능 Virtual Thread 알아보기 / 제4회 Kakao Tech Meet,ETC,ETC
왓챠 추천 서비스 MLOps 적용기 Part2,ETC,ETC
왓챠 추천 서비스 MLOps 적용기 Part1,ETC,ETC
Kubernetes-native 로그 플랫폼,DEVOPS,ETC
TV APP 디자인할 때 고려해야하는 요소들,ETC,ETC
스마트 TV에서 콘텐츠를 새롭게 탐색하는 방법,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 5부 오디오 프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 4부 포스트프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 3부 프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> — 2부 프리프로덕션,ETC,ETC
WATCHA CTI’s Case Report: <Join My Table> -1부 들어가며,ETC,ETC
함께 구매하면 좋은 상품이에요! - 장바구니 추천 개발기 1부,ETC,ETC
고객에게 뚜렷한 경험을: 컬리의 후기 이미지 처리 기술,ETC,ETC
